begovoy,adr,okr,dist,uik,ent,flat,stage,post,unliv,lon,lat
http://gorod.mos.ru/index.php?show=objects&action=show&id=279257,1-й Боткинский проезд д.2/6,САО,Беговой,211,9,159,7,125284,NaN,37.555483,55.781827
http://gorod.mos.ru/index.php?show=objects&action=show&id=279258,1-й Боткинский проезд д.4,САО,Беговой,211,6,111,7,125284,15,37.556925,55.7828947
http://gorod.mos.ru/index.php?show=objects&action=show&id=279252,Верхняя улица д.1,САО,Беговой,207,1,69,9,125040,1,37.5758147,55.7767126
http://gorod.mos.ru/index.php?show=objects&action=show&id=1370089,Верхняя улица д.14,САО,Беговой,207,1,72,9,125040,NaN,37.57536,55.778255
http://gorod.mos.ru/index.php?show=objects&action=show&id=279255,Верхняя улица д.18,САО,Беговой,207,1,98,14,125040,NaN,37.575653,55.778607
http://gorod.mos.ru/index.php?show=objects&action=show&id=1474879,5-я Ямского Поля улица д.23 к.1,САО,Беговой,214,4,36,5,125040,4,37.577429,55.788138
http://gorod.mos.ru/index.php?show=objects&action=show&id=1470044,5-я Ямского Поля улица д.23 к.2,САО,Беговой,214,5,50,5,125040,4,37.577204,55.787555
http://gorod.mos.ru/index.php?show=objects&action=show&id=279251,5-я Ямского Поля улица д.27,САО,Беговой,214,1,105,16,125040,2,37.5764939,55.788452
http://gorod.mos.ru/index.php?show=objects&action=show&id=278822,Беговая аллея д.3,САО,Беговой,212,7,197,8,125284,20,37.5535655,55.7760179
http://gorod.mos.ru/index.php?show=objects&action=show&id=279253,Верхняя улица д.3 к.1,САО,Беговой,207,1,70,9,125040,1,37.57564,55.777373
http://gorod.mos.ru/index.php?show=objects&action=show&id=1366658,Верхняя улица д.3 к.2,САО,Беговой,207,1,70,9,125040,3,37.574916,55.776858
http://gorod.mos.ru/index.php?show=objects&action=show&id=1370086,Верхняя улица д.6,САО,Беговой,207,1,75,14,125040,4,37.576724,55.777347
http://gorod.mos.ru/index.php?show=objects&action=show&id=278824,Ленинградский проспект д.1,САО,Беговой,207,6,130,9,125040,27,37.58039,55.777766
http://gorod.mos.ru/index.php?show=objects&action=show&id=278832,Ленинградский проспект д.11,САО,Беговой,207,1,40,9,125040,3,37.573939,55.780413
http://gorod.mos.ru/index.php?show=objects&action=show&id=278869,Беговая улица д.10,САО,Беговой,209,2,30,5,125284,2,37.556312,55.776532
http://gorod.mos.ru/index.php?show=objects&action=show&id=1401280,Ленинградский проспект д.13 с.1,САО,Беговой,207,3,30,6,125040,5,37.573658,55.781047
http://gorod.mos.ru/index.php?show=objects&action=show&id=1401281,Ленинградский проспект д.13 с.1А,САО,Беговой,207,3,58,7,125040,NaN,37.572786,55.781178
http://gorod.mos.ru/index.php?show=objects&action=show&id=278872,Беговая улица д.14,САО,Беговой,209,4,77,5,125284,4,37.5563209,55.777044
http://gorod.mos.ru/index.php?show=objects&action=show&id=278840,Ленинградский проспект д.19,САО,Беговой,207,1,38,6,125040,4,37.569276,55.781718
http://gorod.mos.ru/index.php?show=objects&action=show&id=278873,Беговая улица д.16,САО,Беговой,209,3,30,5,125284,1,37.557,55.777451
http://gorod.mos.ru/index.php?show=objects&action=show&id=278827,Ленинградский проспект д.5 с.2,САО,Беговой,207,5,96,8,125040,8,37.576664,55.779129
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359602,Беговая улица д.18 к.1,САО,Беговой,209,3,58,5,125284,2,37.557017,55.777944
http://gorod.mos.ru/index.php?show=objects&action=show&id=278877,Беговая улица д.18 к.2,САО,Беговой,209,1,103,14,125284,2,37.5580039,55.777649
http://gorod.mos.ru/index.php?show=objects&action=show&id=278864,Беговая улица д.2,САО,Беговой,209,5,139,8,125284,20,37.5562449,55.77481
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359606,Беговая улица д.20 к.1,САО,Беговой,209,3,35,5,125284,5,37.557315,55.77844
http://gorod.mos.ru/index.php?show=objects&action=show&id=278878,Беговая улица д.20 к.2,САО,Беговой,209,2,40,5,125284,NaN,37.558039,55.7782
http://gorod.mos.ru/index.php?show=objects&action=show&id=278880,Беговая улица д.24,САО,Беговой,209,8,91,6,125284,15,37.5593513,55.7802588
http://gorod.mos.ru/index.php?show=objects&action=show&id=279256,Беговая улица д.26,САО,Беговой,209,2,91,13,125284,9,37.560287,55.7808749
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359764,Беговая улица д.28,САО,Беговой,209,2,137,14,125284,NaN,37.561186,55.781653
http://gorod.mos.ru/index.php?show=objects&action=show&id=278882,Беговая улица д.32,САО,Беговой,209,9,121,7,125284,13,37.562706,55.782799
http://gorod.mos.ru/index.php?show=objects&action=show&id=278883,Беговая улица д.34,САО,Беговой,212,3,299,13,125284,6,37.564454,55.783715
http://gorod.mos.ru/index.php?show=objects&action=show&id=278865,Беговая улица д.4,САО,Беговой,209,5,72,7,125284,12,37.555037,55.775466
http://gorod.mos.ru/index.php?show=objects&action=show&id=1399259,Ленинградский проспект д.5 с.3,САО,Беговой,207,2,62,7,125040,3,37.576593,55.778409
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359586,Беговая улица д.6,САО,Беговой,209,2,88,12,125284,5,37.5566769,55.775689
http://gorod.mos.ru/index.php?show=objects&action=show&id=278867,Беговая улица д.6 к.2,САО,Беговой,209,1,112,14,125284,NaN,37.557696,55.775484
http://gorod.mos.ru/index.php?show=objects&action=show&id=278879,Беговая улица д.6 к.3,САО,Беговой,209,1,109,14,125284,NaN,37.557611,55.776008
http://gorod.mos.ru/index.php?show=objects&action=show&id=278868,Беговая улица д.6 к.4,САО,Беговой,209,1,110,14,125284,1,37.557918,55.776679
http://gorod.mos.ru/index.php?show=objects&action=show&id=278830,Ленинградский проспект д.9,САО,Беговой,207,6,136,8,125040,17,37.57534,55.780241
http://gorod.mos.ru/index.php?show=objects&action=show&id=1418291,Нижняя улица д.11,САО,Беговой,207,4,78,5,125040,NaN,37.5762086,55.7761996
http://gorod.mos.ru/index.php?show=objects&action=show&id=278856,Нижняя улица д.3,САО,Беговой,207,3,41,6,125040,7,37.579555,55.7772645
http://gorod.mos.ru/index.php?show=objects&action=show&id=278857,Нижняя улица д.4,САО,Беговой,207,1,49,10,125040,2,37.578006,55.77736
http://gorod.mos.ru/index.php?show=objects&action=show&id=1418180,Нижняя улица д.5,САО,Беговой,207,4,53,5,125040,6,37.5786384,55.7769598
http://gorod.mos.ru/index.php?show=objects&action=show&id=278858,Нижняя улица д.6,САО,Беговой,207,1,45,10,125040,3,37.577119,55.777023
http://gorod.mos.ru/index.php?show=objects&action=show&id=278859,Нижняя улица д.7,САО,Беговой,207,3,44,5,125040,1,37.5780186,55.7767273
http://gorod.mos.ru/index.php?show=objects&action=show&id=279228,Скаковая улица д.15 к.1,САО,Беговой,207,1,98,14,125040,NaN,37.572626,55.77851
http://gorod.mos.ru/index.php?show=objects&action=show&id=279229,Скаковая улица д.15 к.2,САО,Беговой,207,1,98,14,125040,NaN,37.572768,55.778923
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359449,Беговая аллея д.5 к.1,САО,Беговой,208,4,73,5,125284,3,37.5633857,55.7822761
http://gorod.mos.ru/index.php?show=objects&action=show&id=278860,Беговая аллея д.5 к.2,САО,Беговой,208,1,58,12,125284,3,37.564225,55.782088
http://gorod.mos.ru/index.php?show=objects&action=show&id=278861,Беговая аллея д.5 к.3,САО,Беговой,208,1,57,12,125284,2,37.565039,55.781961
http://gorod.mos.ru/index.php?show=objects&action=show&id=278862,Беговая аллея д.7 к.2,САО,Беговой,208,1,72,9,125284,NaN,37.564303,55.781457
http://gorod.mos.ru/index.php?show=objects&action=show&id=278863,Беговая аллея д.9,САО,Беговой,208,1,72,9,125284,NaN,37.563107,55.781429
http://gorod.mos.ru/index.php?show=objects&action=show&id=278918,Скаковая аллея д.9,САО,Беговой,208,1,72,9,125284,1,37.5686002,55.7813951
http://gorod.mos.ru/index.php?show=objects&action=show&id=279225,Скаковая улица д.13 к.1,САО,Беговой,208,1,111,16,125040,2,37.571562,55.779092
http://gorod.mos.ru/index.php?show=objects&action=show&id=279226,Скаковая улица д.13 к.2,САО,Беговой,208,1,111,16,125040,1,37.5718559,55.779452
http://gorod.mos.ru/index.php?show=objects&action=show&id=279227,Скаковая улица д.14,САО,Беговой,208,3,59,5,125040,1,37.567084,55.78178
http://gorod.mos.ru/index.php?show=objects&action=show&id=279230,Скаковая улица д.18,САО,Беговой,208,4,80,5,125040,NaN,37.5673109,55.781287
http://gorod.mos.ru/index.php?show=objects&action=show&id=1446128,Скаковая улица д.18А,САО,Беговой,208,4,66,5,125040,5,37.567377,55.780733
http://gorod.mos.ru/index.php?show=objects&action=show&id=279232,Скаковая улица д.34 к.1,САО,Беговой,208,3,60,5,125040,3,37.5727721,55.7773774
http://gorod.mos.ru/index.php?show=objects&action=show&id=279233,Скаковая улица д.34 к.2,САО,Беговой,208,3,60,5,125040,4,37.5721293,55.7778924
http://gorod.mos.ru/index.php?show=objects&action=show&id=279234,Скаковая улица д.34 к.3,САО,Беговой,208,1,108,16,125040,2,37.5714204,55.7773765
http://gorod.mos.ru/index.php?show=objects&action=show&id=279235,Скаковая улица д.34 к.4,САО,Беговой,208,1,107,16,125040,3,37.571162,55.777108
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445819,Скаковая улица д.4 к.1,САО,Беговой,208,2,40,5,125040,NaN,37.566252,55.782597
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445820,Скаковая улица д.4 к.2,САО,Беговой,208,3,60,5,125040,NaN,37.566409,55.782232
http://gorod.mos.ru/index.php?show=objects&action=show&id=278843,Ленинградский проспект д.27,САО,Беговой,212,2,90,6,125284,21,37.566483,55.784128
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445821,Скаковая улица д.5,САО,Беговой,208,5,199,14,125040,17,37.568053,55.782559
http://gorod.mos.ru/index.php?show=objects&action=show&id=1652151,Ленинградский проспект д.33 к.1,САО,Беговой,211,5,100,7,125284,13,37.560466,55.786452
http://gorod.mos.ru/index.php?show=objects&action=show&id=1399882,Ленинградский проспект д.33 к.10,САО,Беговой,211,1,24,6,125284,1,37.559695,55.785901
http://gorod.mos.ru/index.php?show=objects&action=show&id=278847,Ленинградский проспект д.33 к.3,САО,Беговой,211,2,48,7,125284,5,37.5608999,55.786991
http://gorod.mos.ru/index.php?show=objects&action=show&id=278849,Ленинградский проспект д.33 к.4,САО,Беговой,211,3,82,7,125284,5,37.559962,55.787249
http://gorod.mos.ru/index.php?show=objects&action=show&id=278850,Ленинградский проспект д.33 к.5,САО,Беговой,211,2,48,7,125284,4,37.559327,55.787664
http://gorod.mos.ru/index.php?show=objects&action=show&id=278851,Ленинградский проспект д.33 к.6,САО,Беговой,211,3,67,7,125284,2,37.558644,55.787532
http://gorod.mos.ru/index.php?show=objects&action=show&id=1399881,Ленинградский проспект д.33 к.7,САО,Беговой,211,3,60,5,125284,NaN,37.558651,55.786974
http://gorod.mos.ru/index.php?show=objects&action=show&id=278852,Ленинградский проспект д.33 к.8,САО,Беговой,211,3,60,5,125284,NaN,37.5594729,55.786623
http://gorod.mos.ru/index.php?show=objects&action=show&id=278853,Ленинградский проспект д.33 к.9,САО,Беговой,211,2,40,5,125284,1,37.558656,55.786454
http://gorod.mos.ru/index.php?show=objects&action=show&id=1473807,Ленинградский проспект д.33А,САО,Беговой,211,5,520,12,125284,NaN,37.557689,55.788417
http://gorod.mos.ru/index.php?show=objects&action=show&id=278854,Ленинградский проспект д.34,САО,Беговой,213,4,106,7,125124,3,37.56888,55.785776
http://gorod.mos.ru/index.php?show=objects&action=show&id=278855,Ленинградский проспект д.35,САО,Беговой,211,4,88,6,125284,NaN,37.553051,55.790452
http://gorod.mos.ru/index.php?show=objects&action=show&id=1445825,Скаковая улица д.7/21А,САО,Беговой,208,2,32,4,125040,NaN,37.568098,55.781844
http://gorod.mos.ru/index.php?show=objects&action=show&id=279259,1-й Боткинский проезд д.6,САО,Беговой,210,6,170,11,125284,9,37.5587469,55.783249
http://gorod.mos.ru/index.php?show=objects&action=show&id=278870,Беговая улица д.11,САО,Беговой,210,7,184,9,125284,21,37.556933,55.779463
http://gorod.mos.ru/index.php?show=objects&action=show&id=278871,Беговая улица д.13,САО,Беговой,210,8,117,8,125284,16,37.558541,55.780819
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359600,Беговая улица д.15,САО,Беговой,210,4,84,6,125284,9,37.557371,55.781744
http://gorod.mos.ru/index.php?show=objects&action=show&id=278874,Беговая улица д.17 к.1,САО,Беговой,210,5,80,7,125284,15,37.5599834,55.77455
http://gorod.mos.ru/index.php?show=objects&action=show&id=278866,Беговая улица д.5,САО,Беговой,210,4,122,10,125284,17,37.5548876,55.7767877
http://gorod.mos.ru/index.php?show=objects&action=show&id=1359590,Беговая улица д.7,САО,Беговой,210,8,248,10,125284,NaN,37.5557919,55.778043
http://gorod.mos.ru/index.php?show=objects&action=show&id=278887,Беговой проезд д.11,САО,Беговой,210,3,34,4,125284,3,37.556933,55.779463
http://gorod.mos.ru/index.php?show=objects&action=show&id=278884,Беговой проезд д.7,САО,Беговой,210,2,22,4,125284,6,37.5557919,55.778043
http://gorod.mos.ru/index.php?show=objects&action=show&id=278885,Беговой проезд д.8,САО,Беговой,210,3,34,4,125284,NaN,37.5600197,55.7745549
http://gorod.mos.ru/index.php?show=objects&action=show&id=278886,Беговой проезд д.9,САО,Беговой,210,1,72,12,125284,1,37.553689,55.777845
http://gorod.mos.ru/index.php?show=objects&action=show&id=278905,переулок Расковой д.24,САО,Беговой,214,3,48,5,125040,4,37.574321,55.7888662
http://gorod.mos.ru/index.php?show=objects&action=show&id=278917,улица Поликарпова д.8,САО,Беговой,210,2,88,12,125284,2,37.5527004,55.7770146
http://gorod.mos.ru/index.php?show=objects&action=show&id=278841,Ленинградский проспект д.24,САО,Беговой,215,6,80,8,125040,18,37.573756,55.782567
http://gorod.mos.ru/index.php?show=objects&action=show&id=294114,Ленинградский проспект д.26 к.1,САО,Беговой,215,5,30,7,125040,31,37.572971,55.783344
http://gorod.mos.ru/index.php?show=objects&action=show&id=278842,Ленинградский проспект д.26 к.2,САО,Беговой,215,7,65,5,125040,9,37.573743,55.783887
http://gorod.mos.ru/index.php?show=objects&action=show&id=278844,Ленинградский проспект д.28,САО,Беговой,215,14,248,8,125040,18,37.571096,55.784167
http://gorod.mos.ru/index.php?show=objects&action=show&id=278915,переулок Расковой д.17,САО,Беговой,215,1,72,9,125040,NaN,37.5735703,55.7882737
http://gorod.mos.ru/index.php?show=objects&action=show&id=1436370,переулок Расковой д.19,САО,Беговой,215,3,62,5,125040,NaN,37.5735313,55.7882446
http://gorod.mos.ru/index.php?show=objects&action=show&id=279237,улица Правды д.1,САО,Беговой,215,3,96,9,125040,6,37.5751739,55.783167
http://gorod.mos.ru/index.php?show=objects&action=show&id=279236,улица Правды д.1/2,САО,Беговой,215,13,143,6,125040,11,37.572632,55.785309
http://gorod.mos.ru/index.php?show=objects&action=show&id=279239,улица Правды д.3/1,САО,Беговой,215,4,192,8,125040,10,37.576431,55.784086
http://gorod.mos.ru/index.php?show=objects&action=show&id=278897,улица Расковой д.10,САО,Беговой,215,2,14,5,125040,3,37.570996,55.786193
http://gorod.mos.ru/index.php?show=objects&action=show&id=278899,улица Расковой д.12,САО,Беговой,215,2,40,6,125040,10,37.571376,55.786492
http://gorod.mos.ru/index.php?show=objects&action=show&id=278900,улица Расковой д.14,САО,Беговой,215,4,137,9,125040,6,37.572462,55.786243
http://gorod.mos.ru/index.php?show=objects&action=show&id=278895,улица Расковой д.8,САО,Беговой,215,2,44,6,125040,6,37.570596,55.785898
http://gorod.mos.ru/index.php?show=objects&action=show&id=278916,улица Нижняя Масловка д.5 к.1,САО,Беговой,216,4,80,5,127015,NaN,37.584316,55.79135
http://gorod.mos.ru/index.php?show=objects&action=show&id=278888,улица Нижняя Масловка д.5 к.2,САО,Беговой,216,4,60,5,127015,4,37.582586,55.791242
http://gorod.mos.ru/index.php?show=objects&action=show&id=1409615,улица Нижняя Масловка д.11 к.1,САО,Беговой,214,2,36,5,125040,2,37.575463,55.791067
http://gorod.mos.ru/index.php?show=objects&action=show&id=278890,улица Нижняя Масловка д.11 к.2,САО,Беговой,214,1,16,5,125040,5,37.5748682,55.7911546
http://gorod.mos.ru/index.php?show=objects&action=show&id=278889,улица Нижняя Масловка д.5 к.3,САО,Беговой,216,3,60,5,127015,NaN,37.581828,55.79127
http://gorod.mos.ru/index.php?show=objects&action=show&id=1409603,улица Нижняя Масловка д.5 к.5,САО,Беговой,216,3,91,9,127015,NaN,37.582098,55.791601
http://gorod.mos.ru/index.php?show=objects&action=show&id=1474051,улица Правды д.11,САО,Беговой,216,8,158,9,125040,NaN,37.5789425,55.7857001
http://gorod.mos.ru/index.php?show=objects&action=show&id=279245,улица Правды д.17/19,САО,Беговой,216,4,95,6,125040,11,37.579441,55.786993
http://gorod.mos.ru/index.php?show=objects&action=show&id=278513,улица Новая Башиловка д.10,САО,Беговой,213,6,110,5,125040,12,37.570571,55.788003
http://gorod.mos.ru/index.php?show=objects&action=show&id=278514,улица Новая Башиловка д.12,САО,Беговой,213,1,64,9,125040,2,37.5707508,55.7886025
http://gorod.mos.ru/index.php?show=objects&action=show&id=278515,улица Новая Башиловка д.14,САО,Беговой,213,8,125,5,125040,7,37.571775,55.789406
http://gorod.mos.ru/index.php?show=objects&action=show&id=278821,улица Новая Башиловка д.16,САО,Беговой,213,5,100,5,125040,2,37.573612,55.789754
http://gorod.mos.ru/index.php?show=objects&action=show&id=278510,улица Новая Башиловка д.4,САО,Беговой,213,1,64,9,125040,5,37.5683099,55.7863045
http://gorod.mos.ru/index.php?show=objects&action=show&id=278511,улица Новая Башиловка д.6,САО,Беговой,213,6,102,5,125040,10,37.569345,55.786788
http://gorod.mos.ru/index.php?show=objects&action=show&id=278512,улица Новая Башиловка д.8,САО,Беговой,213,1,64,9,125040,3,37.569542,55.787444
http://gorod.mos.ru/index.php?show=objects&action=show&id=1434192,улица Правды д.33 с.3,САО,Беговой,216,3,57,5,125040,NaN,37.582665,55.790103
http://gorod.mos.ru/index.php?show=objects&action=show&id=279241,улица Правды д.5,САО,Беговой,216,1,108,16,125040,2,37.574925,55.784277
http://gorod.mos.ru/index.php?show=objects&action=show&id=1433948,улица Правды д.7/9,САО,Беговой,216,6,215,9,125040,12,37.576513,55.785064
http://gorod.mos.ru/index.php?show=objects&action=show&id=1692663,улица Правды д.7/9 к.1,САО,Беговой,216,4,215,8,125040,12,37.576096,55.785775
http://gorod.mos.ru/index.php?show=objects&action=show&id=278904,улица Расковой д.16/26 к.3,САО,Беговой,216,6,64,5,125040,4,37.576124,55.787214
http://gorod.mos.ru/index.php?show=objects&action=show&id=279247,1-я Ямского Поля улица д.24,САО,Беговой,217,4,121,7,125040,15,37.5848989,55.7822198
http://gorod.mos.ru/index.php?show=objects&action=show&id=279248,3-я Ямского Поля улица д.17,САО,Беговой,217,2,94,12,125040,1,37.5783622,55.782884
http://gorod.mos.ru/index.php?show=objects&action=show&id=278831,Ленинградский проспект д.10,САО,Беговой,217,5,68,8,125040,24,37.579902,55.779718
http://gorod.mos.ru/index.php?show=objects&action=show&id=278834,Ленинградский проспект д.12,САО,Беговой,217,4,77,8,125040,17,37.578883,55.780145
http://gorod.mos.ru/index.php?show=objects&action=show&id=278836,Ленинградский проспект д.14 к.1,САО,Беговой,217,10,151,9,125040,17,37.578409,55.780816
http://gorod.mos.ru/index.php?show=objects&action=show&id=278837,Ленинградский проспект д.14 к.4,САО,Беговой,217,3,64,7,125040,2,37.5798215,55.7817246
http://gorod.mos.ru/index.php?show=objects&action=show&id=278838,Ленинградский проспект д.14 к.5,САО,Беговой,217,3,66,8,125040,1,37.579233,55.7820022
http://gorod.mos.ru/index.php?show=objects&action=show&id=278839,Ленинградский проспект д.18,САО,Беговой,217,2,115,12,125040,12,37.576269,55.781376
http://gorod.mos.ru/index.php?show=objects&action=show&id=1436371,улица Расковой д.1,САО,Беговой,213,7,132,6,125040,10,37.5701139,55.786245
http://gorod.mos.ru/index.php?show=objects&action=show&id=278825,Ленинградский проспект д.2,САО,Беговой,217,3,44,8,125040,8,37.582799,55.77873
http://gorod.mos.ru/index.php?show=objects&action=show&id=278898,улица Расковой д.11,САО,Беговой,213,4,144,9,125040,NaN,37.572709,55.789097
http://gorod.mos.ru/index.php?show=objects&action=show&id=278826,Ленинградский проспект д.4/2,САО,Беговой,217,2,87,11,125040,8,37.582187,55.778737
http://gorod.mos.ru/index.php?show=objects&action=show&id=279238,улица Правды д.2А,САО,Беговой,217,5,78,7,125040,11,37.575803,55.782719
http://gorod.mos.ru/index.php?show=objects&action=show&id=1436623,улица Расковой д.16,САО,Беговой,214,3,45,5,125040,7,37.5735898,55.7882882
http://gorod.mos.ru/index.php?show=objects&action=show&id=278901,улица Расковой д.16/26 к.1,САО,Беговой,214,6,72,5,125040,2,37.572757,55.786713
http://gorod.mos.ru/index.php?show=objects&action=show&id=278903,улица Расковой д.16/26 к.2,САО,Беговой,214,6,56,5,125040,7,37.574705,55.786916
http://gorod.mos.ru/index.php?show=objects&action=show&id=279240,улица Правды д.4,САО,Беговой,217,3,84,8,125040,NaN,37.5765675,55.7836258
http://gorod.mos.ru/index.php?show=objects&action=show&id=278907,улица Расковой д.22 к.1,САО,Беговой,214,2,40,5,125040,1,37.573775,55.788099
http://gorod.mos.ru/index.php?show=objects&action=show&id=278908,улица Расковой д.22 к.2,САО,Беговой,214,2,40,5,125040,1,37.574168,55.788416
http://gorod.mos.ru/index.php?show=objects&action=show&id=278909,улица Расковой д.22А,САО,Беговой,214,3,30,5,125040,2,37.574834,55.787624
http://gorod.mos.ru/index.php?show=objects&action=show&id=278910,улица Расковой д.23А,САО,Беговой,214,3,83,7,125040,5,37.574871,55.789792
http://gorod.mos.ru/index.php?show=objects&action=show&id=1473794,улица Расковой д.24А,САО,Беговой,214,1,83,12,125040,1,37.574637,55.788766
http://gorod.mos.ru/index.php?show=objects&action=show&id=278911,улица Расковой д.25,САО,Беговой,214,2,65,9,125040,6,37.575594,55.790574
http://gorod.mos.ru/index.php?show=objects&action=show&id=278892,улица Расковой д.26/29,САО,Беговой,214,4,160,12,125040,7,37.575664,55.78888
http://gorod.mos.ru/index.php?show=objects&action=show&id=278893,улица Расковой д.3,САО,Беговой,213,4,80,5,125040,1,37.571147,55.787469
http://gorod.mos.ru/index.php?show=objects&action=show&id=278912,улица Расковой д.30,САО,Беговой,214,4,93,7,125040,6,37.575615,55.7896716
http://gorod.mos.ru/index.php?show=objects&action=show&id=278913,улица Расковой д.33 к.1,САО,Беговой,214,2,27,5,125040,NaN,37.576231,55.790815
http://gorod.mos.ru/index.php?show=objects&action=show&id=278914,улица Расковой д.33 к.2,САО,Беговой,214,2,30,5,125040,NaN,37.576216,55.791105
http://gorod.mos.ru/index.php?show=objects&action=show&id=278894,улица Расковой д.5,САО,Беговой,213,4,80,5,125040,1,37.571576,55.787792
http://gorod.mos.ru/index.php?show=objects&action=show&id=1436081,улица Расковой д.7,САО,Беговой,213,4,80,5,125040,NaN,37.571989,55.788093
http://gorod.mos.ru/index.php?show=objects&action=show&id=279242,улица Правды д.6/34,САО,Беговой,217,3,84,8,125040,3,37.578066,55.783594
http://gorod.mos.ru/index.php?show=objects&action=show&id=278896,улица Расковой д.9,САО,Беговой,213,4,80,5,125040,NaN,37.572414,55.788428
